Core-index,Vocab-KO-Index,Sent-KO-Index,New-Opt-Voc-Index,Opt-Voc-Index,Opt-Sen-Index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-sound-local,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning,Sentence-sound-local,Sentence-image-local,Vocab-furigana,Sentence-furigana,Sentence-Cloze
301,763,764,1019,354,299,JLPT4,易しい,やさしい,"easy, simple",[sound:8c78091cecdaa35ee652ff810d858cea.mp3],Adjective,この問題はかなり<b>易しい</b>です。,この もんだい は かなり <b>やさしい</b> です,This problem is pretty easy.,[sound:c1a4188c63f2020f3e4a7c005de5a134.mp3],"<img src=""3331f88000b590194072b15f04efbb95.jpg"" />",易[やさ]しい,この 問題[もんだい]はかなり<b> 易[やさ]しい</b>です。,この 問題[もんだい]はかなり<b>（　）</b>です。
216,776,777,1020,355,300,JLPT4,留学生,りゅうがくせい,student studying abroad,[sound:be84f5b2a30414650758567cc051ef79.mp3],Noun,彼は<b>留学生</b>です。,かれ は <b>りゅうがくせい</b> です,He's a foreign student.,[sound:050d738121c56def0d2408dfc170653c.mp3],"<img src=""028f57614251f0f131909937dfe0b83a.jpg"" />",留学生[りゅうがくせい],彼[かれ]は<b> 留学生[りゅうがくせい]</b>です。,彼[かれ]は<b>（　）</b>です。
68,780,781,1021,356,301,JLPT3,戻る,もどる,"return, turn back",[sound:4de37ff7a2f1f46bcdb480c72539f441.mp3],Verb,今、会社に<b>戻ります</b>。,いま かいしゃ に <b>もどります</b>,I'm going back to the office now.,[sound:71d47d155f56bee538053f5b4d7e58f9.mp3],"<img src=""b0d07418f5a279dd45767f395941b74d.jpg"" />",戻[もど]る,今[いま]、 会社[かいしゃ]に<b> 戻[もど]ります</b>。,今[いま]、 会社[かいしゃ]に<b>（　）</b>。
58,781,782,1022,357,302,JLPT4,起きる,おきる,"get up, get out of bed",[sound:9c5df831482f3da839e8ef9d73e43637.mp3],Verb,私は毎朝6時に<b>起きます</b>。,わたし は まいあさ ろくじ に <b>おきます</b>,I get up at six o'clock every morning.,[sound:e6d6aa4a91908428b35247fa3890ae88.mp3],"<img src=""345cea60dadb7c468e8f17bbe60212a7.jpg"" />",起[お]きる,私[わたし]は 毎朝6時[まいあさ ろくじ]に<b> 起[お]きます</b>。,私[わたし]は 毎朝6時[まいあさ ろくじ]に<b>（　）</b>。
94,781,782,1023,358,303,JLPT2,起こる,おこる,happen,[sound:9d6b7602dee26f01e65a3f536faac093.mp3],Verb,町で大事件が<b>起こりました</b>。,まち で だいじけん が <b>おこりました</b>,There was a major incident in town.,[sound:225e6d0df534934a3d351f98af20c982.mp3],"<img src=""a543139fcb592c4a8289b468c4c3c630.jpg"" />",起[お]こる,町[まち]で 大事件[だいじけん]が<b> 起[お]こりました</b>。,町[まち]で 大事件[だいじけん]が<b>（　）</b>。
121,781,782,1024,359,304,JLPT0,起こす,おこす,wake up,[sound:416606e4a5d3d723297ba4d374049207.mp3],Verb,明日、6時に<b>起こして</b>ください。,あす ろくじ に <b>おこして</b> ください,Please wake me up tomorrow at six o'clock.,[sound:9ac70c7c04bf1d573a200c7491e8c094.mp3],"<img src=""9a319904342c451e7c5183ca117a1c0f.jpg"" />",起[お]こす,明日[あす]、 6時[ろくじ]に<b> 起[お]こして</b>ください。,明日[あす]、 6時[ろくじ]に<b>（　）</b>ください。
222,781,782,1025,360,305,JLPT4,起きる,おきる,occur,[sound:959ee845b4f553c608d508e672440b8a.mp3],Verb,近所で盗難事件が<b>起きました</b>。,きんじょ で とうなん じけん が <b>おきました</b>,Some burglaries occurred in the neighborhood.,[sound:08c5b843977dbd2d1b82ffb16e185421.mp3],"<img src=""81c5d90a2d5dcc43ead638e20999cff6.jpg"" />",起[お]きる,近所[きんじょ]で 盗難事件[とうなん じけん]が<b> 起[お]きました</b>。,近所[きんじょ]で 盗難事件[とうなん じけん]が<b>（　）</b>。
189,782,783,1026,361,306,JLPT4,寝る,ねる,"sleep, go to sleep",[sound:a2645adc4de90ef97cb1cca9ef060645.mp3],Verb,もう<b>寝よう</b>。,もう <b>ねよう</b>,Let's go to bed.,[sound:93ebfdf75bd34f83fb9d04a9090f3d29.mp3],"<img src=""d130322034ff1c734d2812c243411bca.jpg"" />",寝[ね]る,もう<b> 寝[ね]よう</b>。,もう<b>（　）</b>。
243,40,783,81,80,307,JLPT2,多分,たぶん,"probably, perhaps",[sound:b6e98df3f4f2e53dddc28a0733dd0cb3.mp3],Adverb,彼女は<b>多分</b>家で寝ています。,かのじょ は <b>たぶん</b> いえ で ねて います,She's probably sleeping at home.,[sound:aed03e4fd79fc412504fde61936f94bc.mp3],"<img src=""06198c1d00420d1bb9e765e8b665c9b3.jpg"" />",多分[たぶん],彼女[かのじょ]は<b> 多分[たぶん]</b> 家[いえ]で 寝[ね]ています。,彼女[かのじょ]は<b>（　）</b> 家[いえ]で 寝[ね]ています。
184,367,789,266,265,308,JLPT4,座る,すわる,"sit, sit down",[sound:3ec47b9b2f3840d07ea74d2812a981d5.mp3],Verb,私は窓側の席に<b>座った</b>。,わたし は まどがわ の せき に <b>すわった</b>,I sat in a window seat.,[sound:80bd93483d6ac30307f5fc2483bae3ee.mp3],"<img src=""d67c6de661c06d95572e5cea349711e8.jpg"" />",座[すわ]る,私[わたし]は 窓側[まどがわ]の 席[せき]に<b> 座[すわ]った</b>。,私[わたし]は 窓側[まどがわ]の 席[せき]に<b>（　）</b>。
44,51,795,99,98,309,JLPT4,本,ほん,"book, volume",[sound:7e89cfc0e2c8720c5d61e814c163459c.mp3],Noun,<b>本</b>を１冊買いました。,<b>ほん</b> を いっさつ かいました,I bought one book.,[sound:fc415856609474b68d25da4524e0a40a.mp3],"<img src=""35ef24de48831cfc84820a7f7d09013d.jpg"" />",本[ほん],<b> 本[ほん]</b>を １冊買[いっさつ か]いました。,<b>（　）</b>を １冊買[いっさつ か]いました。
316,797,798,1027,362,310,JLPT4,細い,ほそい,"thin, slender, narrow",[sound:dd178488b82c03f785987b226f2fab54.mp3],Adjective,彼女は指が<b>細い</b>ですね。,かのじょ は ゆび が <b>ほそい</b> です ね,Her fingers are thin.,[sound:b9b35dc0595a65eeaa52c4697ba5057d.mp3],"<img src=""aa125b18b018c64b6ab0eb0b516d225c.jpg"" />",細[ほそ]い,彼女[かのじょ]は 指[ゆび]が<b> 細[ほそ]い</b>ですね。,彼女[かのじょ]は 指[ゆび]が<b>（　）</b>ですね。
178,546,809,335,335,311,JLPT3,日記,にっき,diary,[sound:a635766d39a37531f7725be1c175e992.mp3],Noun,私は毎日、<b>日記</b>を付けています。,わたし は まいにち <b>にっき</b> を つけて います,I keep a diary every day.,[sound:9bb7cc68a2d8a206ac9d76066b028b32.mp3],"<img src=""cd5ee73d32ddef325e8bd979941e14e6.jpg"" />",日記[にっき],私[わたし]は 毎日[まいにち]、<b> 日記[にっき]</b>を 付[つ]けています。,私[わたし]は 毎日[まいにち]、<b>（　）</b>を 付[つ]けています。
365,17,829,31,30,312,JLPT4,時々,ときどき,sometimes,[sound:43d8819718e50d5e827949c60c843d75.mp3],Adverb,彼は<b>時々</b>遅刻します。,かれ は <b>ときどき</b> ちこく します,He's sometimes late.,[sound:68e35b2b6d0abcd2b9fa8a78a03744a8.mp3],"<img src=""3224d52b7a6b21e12e816a8c19309b65.jpg"" />",時々[ときどき],彼[かれ]は<b> 時々[ときどき]</b> 遅刻[ちこく]します。,彼[かれ]は<b>（　）</b> 遅刻[ちこく]します。
278,829,830,1029,364,313,JLPT4,締める,しめる,"tighten, fasten",[sound:0aa808849b5acbfdda4414bfc7a237f1.mp3],Verb,彼はシートベルトを<b>締めた</b>。,かれ は しーとべると を <b>しめた</b>,He fastened his seat belt.,[sound:3c6bf26a98f4a98cfb7e03bde4698e15.mp3],"<img src=""e811fe0fa79968b5946903dbe33c40b3.jpg"" />",締[し]める,彼[かれ]はシートベルトを<b> 締[し]めた</b>。,彼[かれ]はシートベルトを<b>（　）</b>。
229,841,842,1030,365,314,JLPT4,甘い,あまい,sweet,[sound:065c21ca53df05579a11dc58c386d744.mp3],Adjective,このイチゴは<b>甘い</b>。,この いちご は <b>あまい</b>,This strawberry is sweet.,[sound:ad2c9a40b2419bcec847aea5317c1b83.mp3],"<img src=""9a9eae660a55ad32affee67940419d4c.jpg"" />",甘[あま]い,このイチゴは<b> 甘[あま]い</b>。,このイチゴは<b>（　）</b>。
305,842,843,1031,366,315,JLPT4,辛い,からい,"spicy, salty",[sound:0e783b6c24ca66f2a842cee402e6d162.mp3],Adjective,彼は<b>辛い</b>ものが好きです。,かれ は <b>からい</b> もの が すき です,He likes spicy food.,[sound:182e207cc909f019135e042d59d12122.mp3],"<img src=""758a4223bfd2594ef6649a78ce700682.jpg"" />",辛[から]い,彼[かれ]は<b> 辛[から]い</b>ものが 好[す]きです。,彼[かれ]は<b>（　）</b>ものが 好[す]きです。
80,356,871,262,260,316,JLPT3,変える,かえる,change,[sound:7b65a9b7635b4b4e9da3b7d012995e38.mp3],Verb,旅行の日程を<b>変えました</b>。,りょこう の にってい を <b>かえました</b>,I changed our travel schedule.,[sound:6f6c1512a82a434f29fa884a2ba79b1f.mp3],"<img src=""bf39bacdc2863cb8b5b4a2454beedd97.jpg"" />",変[か]える,旅行[りょこう]の 日程[にってい]を<b> 変[か]えました</b>。,旅行[りょこう]の 日程[にってい]を<b>（　）</b>。
206,225,871,220,219,317,JLPT0,決まる,きまる,be decided,[sound:c404448fb06faad00e82895a363fad2d.mp3],Verb,旅行の日程が<b>決まりました</b>。,りょこう の にってい が <b>きまりました</b>,I've decided on my travel schedule.,[sound:65636da05a44afdd8b4a634fbed17151.mp3],"<img src=""eafb6c677edb3ee096ed1a46916a9e00.jpg"" />",決[き]まる,旅行[りょこう]の 日程[にってい]が<b> 決[き]まりました</b>。,旅行[りょこう]の 日程[にってい]が<b>（　）</b>。
258,871,872,1032,367,318,JLPT3,優しい,やさしい,"gentle, kind",[sound:31df2a6d65f7e80ffb383bd045b0b0da.mp3],Adjective,彼はとても<b>優しい</b>人です。,かれ は とても <b>やさしい</b> ひと です,He's a very kind person.,[sound:f65741516882df0fdfb67e8213355921.mp3],"<img src=""3d341d7ac65291dd1026f9bf182a2c64.jpg"" />",優[やさ]しい,彼[かれ]はとても<b> 優[やさ]しい</b> 人[ひと]です。,彼[かれ]はとても<b>（　）</b> 人[ひと]です。
371,46,872,91,90,319,JLPT4,人,ひと,person,[sound:90806b952a90a8a3d4a670af736cd2c2.mp3],Noun,彼は優しい<b>人</b>です。,かれ は やさしい <b>ひと</b> です,He's a nice guy.,[sound:71cec11dadbb236be4d26cba0596c578.mp3],"<img src=""7935cb9e66346619ff6da9267e25a1e3.jpg"" />",人[ひと],彼[かれ]は 優[やさ]しい<b> 人[ひと]</b>です。,彼[かれ]は 優[やさ]しい<b>（　）</b>です。
113,891,892,1033,368,320,JLPT2,夫,おっと,husband,[sound:3142dc9c9260c6ee9b12d43664a92a5d.mp3],Noun,私の<b>夫</b>はサラリーマンです。,わたし の <b>おっと</b> は さらりーまん です,My husband is a company employee.,[sound:75b1f111f926a987fe2cb480772267b9.mp3],"<img src=""bdecc0056c689faeac938f054c4dc096.jpg"" />",夫[おっと],私[わたし]の<b> 夫[おっと]</b>はサラリーマンです。,私[わたし]の<b>（　）</b>はサラリーマンです。
20,226,899,221,220,321,JLPT4,知る,しる,know,[sound:b181b22d729c84793ebb6329aad15585.mp3],Verb,誰もその話を<b>知らない</b>。,だれ も その はなし を <b>しらない</b>,No one knows that story.,[sound:b0a35a7f0196e9f11660fed1bd0e83e9.mp3],"<img src=""fd50aece8dbb53338bde34fa725a96eb.jpg"" />",知[し]る,誰[だれ]もその 話[はなし]を<b> 知[し]らない</b>。,誰[だれ]もその 話[はなし]を<b>（　）</b>。
137,898,899,1035,370,322,JLPT2,誰,だれ,"who, whom",[sound:dad789f72b26ca0e477037073372b2f6.mp3],Noun,<b>誰</b>と会ってみたいですか。,<b>だれ</b> と あって みたい です か,Who would you like to meet one day?,[sound:1a3c52b66ef17066b6a64926edb0e876.mp3],"<img src=""5033ee4a334f9953c0ceeb67f4dbf639.jpg"" />",誰[だれ],<b> 誰[だれ]</b>と 会[あ]ってみたいですか。,<b>（　）</b>と 会[あ]ってみたいですか。
116,428,902,305,304,323,JLPT2,親,おや,parent,[sound:f36d4b7d89ec57c26d59233a2107f414.mp3],Noun,<b>親</b>の愛は有り難い。,<b>おや</b> の あい は ありがたい,We're grateful for our parents' love.,[sound:eb62861b5041081fd2fe7d8b3896f05d.mp3],"<img src=""a4d6ce6c2b7c9c530dd51d4a3f38b904.jpg"" />",親[おや],<b> 親[おや]</b>の 愛[あい]は 有[あ]り 難[がた]い。,<b>（　）</b>の 愛[あい]は 有[あ]り 難[がた]い。
226,901,902,1036,371,324,JLPT2,愛する,あいする,"love, care for",[sound:d1f1bb653ade601715e2e84bf460ab17.mp3],Verb,私は家族を<b>愛しています</b>。,わたし は かぞく を <b>あいして います</b>,I love my family.,[sound:887dbed861532af9f80a8187b7f3fcff.mp3],"<img src=""3e5ba5d6b01534afd96bc3d646560f19.jpg"" />",愛[あい]する,私[わたし]は 家族[かぞく]を<b> 愛[あい]しています</b>。,私[わたし]は 家族[かぞく]を<b>（　）</b>。
57,0,904,103,111,325,JLPT3,くれる,くれる,be given,[sound:80b1d9b3cd6ca555691deb06906e2f05.mp3],Verb,友達が誕生日プレゼントを<b>くれた</b>。,ともだち が たんじょうび ぷれぜんと を <b>くれた</b>,My friend gave me a birthday present.,[sound:6b17389d45dacb904ad69c72262a5bf0.mp3],"<img src=""29ed8ba88f54d45e4d75aba3746c51e7.jpg"" />",くれる,友達[ともだち]が 誕生日[たんじょうび]プレゼントを<b>くれた</b>。,友達[ともだち]が 誕生日[たんじょうび]プレゼントを<b>（　）</b>。
323,19,904,38,37,326,JLPT4,二十日,はつか,"20 days, 20th of the month",[sound:4ee5a6cb92b542269e0632b879f04ae2.mp3],Noun,来月の<b>二十日</b>は弟の誕生日です。,らいげつ の <b>はつか</b> は おとうと の たんじょうび です,The 20th of next month is my little brother's birthday.,[sound:d22ea1462fac672f7759d78db3db05dc.mp3],"<img src=""e1f0a343201d92e2f415bdbc37650d8f.jpg"" />",二十日[はつか],来月[らいげつ]の<b> 二十日[はつか]</b>は 弟[おとうと]の 誕生日[たんじょうび]です。,来月[らいげつ]の<b>（　）</b>は 弟[おとうと]の 誕生日[たんじょうび]です。
361,893,904,1034,369,327,JLPT3,妻,つま,wife,[sound:0f7205ef1e6c9a8987e4fc515d7328ca.mp3],Noun,今日は<b>妻</b>の誕生日だ。,きょう は <b>つま</b> の たんじょうび だ,It's my wife's birthday today.,[sound:0854aa417e1f6279c9803379d3383b45.mp3],"<img src=""1913211231a8983897bd0edf9929e9c1.jpg"" />",妻[つま],今日[きょう]は<b> 妻[つま]</b>の 誕生日[たんじょうび]だ。,今日[きょう]は<b>（　）</b>の 誕生日[たんじょうび]だ。
311,19,906,36,35,328,JLPT4,五日,いつか,"five days, 5th of the month",[sound:ef401cafa3c840f73d353a44b8a88c0b.mp3],Noun,五月<b>五日</b>は祝日です,ごがつ <b>いつか</b> は しゅくじつ です,May 5th is a holiday.,[sound:d1dbda17cc86faef2fd50eb8905ecdbb.mp3],"<img src=""d8959ba93e6264f2fe72d7a991468244.jpg"" />",五日[いつか],五月[ごがつ]<b> 五日[いつか]</b>は 祝日[しゅくじつ]です,五月[ごがつ]<b>（　）</b>は 祝日[しゅくじつ]です
246,0,912,230,239,329,JLPT4,どうして,どうして,why,[sound:2cd7816ca841097d39c700a150a163a1.mp3],Adverb,<b>どうして</b>泣いているの。,<b>どうして</b> ないて いる の,Why are you crying?,[sound:7c6e07e2d9445431457e08d8a8514cee.mp3],"<img src=""b848d9be3b7560a337d7a39422919cda.jpg"" />",どうして,<b>どうして</b> 泣[な]いているの。,<b>（　）</b> 泣[な]いているの。
379,120,919,156,155,330,JLPT3,見える,みえる,be visible,[sound:a549e52159bf8ad1affa6e5381b6ea0d.mp3],Verb,ここから富士山がよく<b>見えます</b>。,ここ から ふじさん が よく <b>みえます</b>,You can see Mount Fuji well from here.,[sound:d57875a4e5ee3a631d397267669023aa.mp3],"<img src=""22978fd6cb9023815aafa2f33ffa3125.jpg"" />",見[み]える,ここから 富士山[ふじさん]がよく<b> 見[み]えます</b>。,ここから 富士山[ふじさん]がよく<b>（　）</b>。
111,433,950,310,308,331,JLPT4,兄,あに,older brother,[sound:3b174a5bd2eab47d46f1dc630477454a.mp3],Noun,<b>兄</b>は水泳が得意です。,<b>あに</b> は すいえい が とくい です,My big brother is good at swimming.,[sound:b0b678395a8b37af9a3ae3af38e93d64.mp3],"<img src=""6eb6a612b8ea6ef477ba71c32dc045f5.jpg"" />",兄[あに],<b> 兄[あに]</b>は 水泳[すいえい]が 得意[とくい]です。,<b>（　）</b>は 水泳[すいえい]が 得意[とくい]です。
314,956,957,1038,373,332,JLPT0,酸っぱい,すっぱい,sour,[sound:4c3ada28abfb8d806ebef332bfd0c167.mp3],Adjective,このぶどうは<b>酸っぱい</b>です。,この ぶどう は <b>すっぱい</b> です,These grapes are sour.,[sound:5fa3e41503ce9b8fb8b5749eb82d345e.mp3],"<img src=""901c624931f5af60a34ec10d40dd21a5.jpg"" />",酸[す]っぱい,このぶどうは<b> 酸[す]っぱい</b>です。,このぶどうは<b>（　）</b>です。
357,38,964,76,75,333,JLPT4,小さい,ちいさい,small,[sound:5831f8cfe76e8051a3d11f5bbfc10c5e.mp3],Adjective,<b>小さい</b>花が咲いています。,<b>ちいさい</b> はな が さいて います,Small flowers are blooming.,[sound:8f7c87b3dee0c0041878c6d194ccec7e.mp3],"<img src=""1c952022b616f6ef21d341b60f447bea.jpg"" />",小[ちい]さい,<b> 小[ちい]さい</b> 花[はな]が 咲[さ]いています。,<b>（　）</b> 花[はな]が 咲[さ]いています。
50,970,971,1039,374,334,JLPT4,言葉,ことば,"word, language",[sound:607e27af6d65506b4276befba2fe9738.mp3],Noun,この<b>言葉</b>の意味が分かりません。,この <b>ことば</b> の いみ が わかりません,I don't understand the meaning of this word.,[sound:10ff96c3bd090f8875442c69d3ee060f.mp3],"<img src=""7be6b6cd24ec8a129d6aec67694eeb18.jpg"" />",言葉[ことば],この<b> 言葉[ことば]</b>の 意味[いみ]が 分[わ]かりません。,この<b>（　）</b>の 意味[いみ]が 分[わ]かりません。
335,0,0,309,319,335,JLPT4,おいしい,おいしい,tasty,[sound:36523f033cfce45a5b436a11f803a8ac.mp3],Adjective,このケーキは<b>おいしい</b>ね。,この けーき は <b>おいしい</b> ね,This cake is yummy.,[sound:bff03a5c9cdfd4b22a265af0ae1a766e.mp3],"<img src=""4523ec5f4c1056de004f54b4c09ea63c.jpg"" />",おいしい,このケーキは<b>おいしい</b>ね。,このケーキは<b>（　）</b>ね。
74,971,972,1040,375,336,JLPT4,呼ぶ,よぶ,"call, name",[sound:5eda4a4ac4ac0a7d4cb5b2bddd5885af.mp3],Verb,ウェイターを<b>呼びましょう</b>。,うぇいたー を <b>よびましょう</b>,Let's call the waiter.,[sound:70eec97c1aa29b3fb2ea856726d6a000.mp3],"<img src=""1e543bf83746275fa8f6654efa896f85.jpg"" />",呼[よ]ぶ,ウェイターを<b> 呼[よ]びましょう</b>。,ウェイターを<b>（　）</b>。
145,976,977,1041,376,337,JLPT2,胸,むね,chest,[sound:1d4fe990faff21ee8c8e04aea67b619d.mp3],Noun,<b>胸</b>に少し痛みがあります。,<b>むね</b> に すこし いたみ が あります,I have a slight pain in my chest.,[sound:404a0fbe51820717fc72bf9ee7b09517.mp3],"<img src=""74a3e315df21b59441559f7ae880f025.jpg"" />",胸[むね],<b> 胸[むね]</b>に 少[すこ]し 痛[いた]みがあります。,<b>（　）</b>に 少[すこ]し 痛[いた]みがあります。
211,978,979,1042,377,338,JLPT2,腰,こし,"hip, lower back",[sound:ae4002603c5c8ef3f801cdeb43f8f7dd.mp3],Noun,昨日から<b>腰</b>が痛い。,きのう から <b>こし</b> が いたい,I've had a pain in my lower back since yesterday.,[sound:ab4ff12aa90b72c399c7e41d545463c8.mp3],"<img src=""9a75c48343c718a7a2e1212a4e6f667d.jpg"" />",腰[こし],昨日[きのう]から<b> 腰[こし]</b>が 痛[いた]い。,昨日[きのう]から<b>（　）</b>が 痛[いた]い。
224,799,982,1028,363,339,JLPT2,載せる,のせる,"place, put on",[sound:7ffaa2de26127899c50268c40706038f.mp3],Verb,皿にケーキを<b>載せました</b>。,さら に けーき を <b>のせました</b>。,I put the cake on the plate.,[sound:e5edb0f9d656ad8be85ff03d39b8103a.mp3],"<img src=""254b4f82064b04eb5aa867fab33f14d8.jpg"" />",載[の]せる,皿[さら]にケーキを<b> 載[の]せました</b>。,皿[さら]にケーキを<b>（　）</b>。
107,103,987,136,134,340,JLPT4,低い,ひくい,"low, short",[sound:b8a1a192a4508a4327f27f6bd4d0dc93.mp3],Adjective,彼は背が<b>低い</b>。,かれ は せ が <b>ひくい</b>,He's short.,[sound:ad14461f333e4f02197abb6a81091f35.mp3],"<img src=""defcbc984fe69dca7854afe40296a3e8.jpg"" />",低[ひく]い,彼[かれ]は 背[せ]が<b> 低[ひく]い</b>。,彼[かれ]は 背[せ]が<b>（　）</b>。
165,234,987,223,221,341,JLPT0,一番,いちばん,most,[sound:bdc1e94798c2af8342b73208f6e930c5.mp3],Adverb,彼はクラスで<b>一番</b>背が高い。,かれ は くらす で <b>いちばん</b> せ が たかい,He's the tallest in class.,[sound:c643f76520e40c7f5124261a15754f82.mp3],"<img src=""35a2a0d9630395c9683b6726298940c5.jpg"" />",一番[いちばん],彼[かれ]はクラスで<b> 一番[いちばん]</b> 背[せ]が 高[たか]い。,彼[かれ]はクラスで<b>（　）</b> 背[せ]が 高[たか]い。
219,986,987,1043,378,342,JLPT2,背,せ,"height, stature",[sound:758dc4b2006589720317638e1efb30cf.mp3],Noun,彼女は<b>背</b>が高い。,かのじょ は <b>せ</b> が たかい,She's tall.,[sound:e3a302adedb6a90604b799e848c44a30.mp3],"<img src=""eebeae7cd97c08656f635eab946b58b4.jpg"" />",背[せ],彼女[かのじょ]は<b> 背[せ]</b>が 高[たか]い。,彼女[かのじょ]は<b>（　）</b>が 高[たか]い。
3,16,1005,28,27,343,JLPT2,円,えん,circle,[sound:418361aa755f7b13c9f2d1efa443a2d5.mp3],Noun,そこに大きな<b>円</b>を描いて。,そこ に おおき な <b>えん</b> を かいて,Draw a big circle there.,[sound:1fde21d036e7e30463543e9af5e5c3d1.mp3],"<img src=""0fc976e7ac437c764ae72e171c7b42c3.jpg"" />",円[えん],そこに 大[おお]きな<b> 円[えん]</b>を 描[か]いて。,そこに 大[おお]きな<b>（　）</b>を 描[か]いて。
156,130,1014,164,163,344,JLPT4,覚える,おぼえる,"memorize, learn",[sound:73e802bd495f4c80650febf22d863599.mp3],Verb,妹は平仮名を全部<b>覚えました</b>。,いもうと は ひらがな を ぜんぶ <b>おぼえました</b>,My little sister learned all the hiragana.,[sound:073455c9c5d6ba8b8535d5dd662d8e98.mp3],"<img src=""1ee45142a8d31bb5136afc5cdef87efb.jpg"" />",覚[おぼ]える,妹[いもうと]は 平仮名[ひらがな]を 全部[ぜんぶ]<b> 覚[おぼ]えました</b>。,妹[いもうと]は 平仮名[ひらがな]を 全部[ぜんぶ]<b>（　）</b>。
271,1013,1014,1044,379,345,JLPT4,片仮名,かたかな,katakana,[sound:30f0f67ad9ea833cc97662deee76a698.mp3],Noun,お名前を<b>片仮名</b>で書いてください。,おなまえ を <b>かたかな</b> で かいて ください,Please write your name in katakana.,[sound:7962d613668087d475791cf722f6bc7e.mp3],"<img src=""48e471363ca9d02d929e6a3fdf965b27.jpg"" />",片仮名[かたかな],お 名前[なまえ]を<b> 片仮名[かたかな]</b>で 書[か]いてください。,お 名前[なまえ]を<b>（　）</b>で 書[か]いてください。
280,1013,1014,1045,380,346,JLPT4,平仮名,ひらがな,hiragana,[sound:ce6ec2de25373dfc03530a904b675483.mp3],Noun,私は<b>平仮名</b>を全部読めます。,わたし は <b>ひらがな</b> を ぜんぶ よめます,I can read all the hiragana.,[sound:df582d95566917e7f9ba4a847e964ff6.mp3],"<img src=""cd4d9731788e5eb4db2dde7abe43f80c.jpg"" />",平仮名[ひらがな],私[わたし]は<b> 平仮名[ひらがな]</b>を 全部読[ぜんぶ よ]めます。,私[わたし]は<b>（　）</b>を 全部読[ぜんぶ よ]めます。
225,1018,1019,1046,381,347,JLPT3,悲しい,かなしい,sad,[sound:db316065b6246b85749596f9a14fb92e.mp3],Adjective,その映画はとても<b>悲しかった</b>。,その えいが は とても <b>かなしかった</b>,That movie was very sad.,[sound:885a6df19abbea372566303ae8c12646.mp3],"<img src=""8bf0b7e13b3130ec6f3b85ad743031aa.jpg"" />",悲[かな]しい,その 映画[えいが]はとても<b> 悲[かな]しかった</b>。,その 映画[えいが]はとても<b>（　）</b>。
118,1021,1022,1047,382,348,JLPT3,美しい,うつくしい,beautiful,[sound:95045dbd8128a74d1090592da1e0aaed.mp3],Adjective,この絵は<b>美しい</b>です。,この え は <b>うつくしい</b> です,This picture is beautiful.,[sound:d3b4338e2674c5411ffaf910d7485ff4.mp3],"<img src=""d3e5ef08537dda933d16b0ac101e65bf.jpg"" />",美[うつく]しい,この 絵[え]は<b> 美[うつく]しい</b>です。,この 絵[え]は<b>（　）</b>です。
231,252,1022,226,225,349,JLPT4,食べ物,たべもの,food,[sound:1009d072318d7adba05cbcb6a03f4fa1.mp3],Noun,日本の<b>食べ物</b>はとても美味しいです。,にっぽん の <b>たべもの</b> は とても おいしい です,Japanese food is very delicious.,[sound:4852f9ead80c9e10067565f92d9826d4.mp3],"<img src=""9be305637434adc863b80636242c95b0.jpg"" />",食[た]べ 物[もの],日本[にっぽん]の<b> 食[た]べ 物[もの]</b>はとても 美味[おい]しいです。,日本[にっぽん]の<b>（　）</b>はとても 美味[おい]しいです。
28,121,1036,159,157,350,JLPT4,言う,いう,"say, tell",[sound:8d3dfe48b41a12a81cc87fa0d332bb4d.mp3],Verb,上司が「一杯、飲もう。」と<b>言った</b>。,じょうし が いっぱい のもう と <b>いった</b>,"My boss said: ""Let's have a drink.""",[sound:c1bb949112d4bf8ee9c4859f7ab3c88f.mp3],"<img src=""5031bf4c94fc6ffda026545821a75ffd.jpg"" />",言[い]う,上司[じょうし]が「 一杯[いっぱい]、 飲[の]もう。」と<b> 言[い]った</b>。,上司[じょうし]が「 一杯[いっぱい]、 飲[の]もう。」と<b>（　）</b>。
343,440,1036,318,316,351,JLPT3,彼,かれ,"he, one's boyfriend",[sound:64c7fb422331c65ce2f20727406ee68d.mp3],Noun,<b>彼</b>は私の上司です。,<b>かれ</b> は わたし の じょうし です,He's my senior.,[sound:41419331a27485825dcdd79753f4026d.mp3],"<img src=""8c77dbe829b88a47f2b9d685e29f5594.jpg"" />",彼[かれ],<b> 彼[かれ]</b>は 私[わたし]の 上司[じょうし]です。,<b>（　）</b>は 私[わたし]の 上司[じょうし]です。
166,1039,1040,1048,383,352,JLPT4,授業,じゅぎょう,"class, lesson",[sound:3f80d00a747e4a4179033c40502258c5.mp3],Verbal Noun,今日は日本語の<b>授業</b>があります。,きょう は にほんご の <b>じゅぎょう</b> が あります,There's going to be a Japanese class today.,[sound:510cc9b5b444fbea53597158354394c9.mp3],"<img src=""468d8392061f033e10e26bd7b9dabb68.jpg"" />",授業[じゅぎょう],今日[きょう]は 日本語[にほんご]の<b> 授業[じゅぎょう]</b>があります。,今日[きょう]は 日本語[にほんご]の<b>（　）</b>があります。
